layer_key,dataset_id,rule,confidence,status,notes
waterLevees,river_levees_wra,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 堤防 → river_levees_wra.md
waterCanals,irrigation_canals,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 灌排渠道 → irrigation_canals.md
waterProtectionZones,water_zones_wra,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 管制區 → water_zones_wra.md
waterDetentionBasins,detention_basins,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=water_resources
groundwater,groundwater_wells,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 地下水井 → groundwater_wells.md
waterFloodExtreme,flood_hazard_wra,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 淹水潛勢 → flood_hazard_wra.md
floodSensorIsochrone,water.uswg_measurements,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 淹水等時圈 → uswg_measurements.md
precipRaster,water.precipitation_raster_frames,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 累積雨量柵格 → precipitation_raster.md
lifelineAlerts,ncdr_alerts,class_c_new_catalog,HIGH,verified,CLASS-C: NCDR JSONAtomFeeds via ncdr_alerts.py collector (共用 dataset 分 5 群視圖)
floodAlerts,ncdr_alerts,class_c_new_catalog,HIGH,verified,CLASS-C: NCDR JSONAtomFeeds via ncdr_alerts.py collector (共用 dataset 分 5 群視圖)
weatherAlerts,ncdr_alerts,class_c_new_catalog,HIGH,verified,CLASS-C: NCDR JSONAtomFeeds via ncdr_alerts.py collector (共用 dataset 分 5 群視圖)
transitAlerts,ncdr_alerts,class_c_new_catalog,HIGH,verified,CLASS-C: NCDR JSONAtomFeeds via ncdr_alerts.py collector (共用 dataset 分 5 群視圖)
safetyAlerts,ncdr_alerts,class_c_new_catalog,HIGH,verified,CLASS-C: NCDR JSONAtomFeeds via ncdr_alerts.py collector (共用 dataset 分 5 群視圖)
earthquakes,earthquake,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 地震 → earthquake.md
activeFaults,earthquake,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 活動斷層 → earthquake.md (subset)
lightning,lightning_taipower,class_c_new_catalog,HIGH,verified,CLASS-C: 台電落雷 CSV lightning_events.py collector
nuclearRadiation,nuclear_radiation_taipower,class_c_new_catalog,HIGH,verified,CLASS-C: 台電核安輻射 CSV nuclear_radiation.py collector
earthquakesGlobal,usgs_earthquakes_global,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 全球地震 → usgs_earthquakes_global.md
typhoonTracks,jma_typhoon_positions,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 颱風軌跡 → jma_typhoon_positions.md
windField,noaa_gfs_wind_forecast,manual_fix,MED,verified,FIX: 對應 global_climate/noaa_gfs_wind_forecast.md
oceanCurrents,cmems_ocean_forecast,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 海流 → cmems_ocean_forecast.md
dustForecast,cams_atmosphere_forecast,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 沙塵預報 → cams_atmosphere_forecast.md
fireStations,fire_stations,R4,MED,verified,R4 normalized name exact match. layer_key=fireStations (norm=fire) <=> dataset_id (norm match)
fireHydrants,fire_hydrants,R4,MED,verified,R4 normalized name exact match. layer_key=fireHydrants (norm=firehydrants) <=> dataset_id (norm match)
fireEvents,fire_incidents,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 火災歷史 → fire_incidents.md
fireLatest,fire_incidents,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 火災最新 → fire_incidents.md
fireIsochrone,,manual_fix,UNMATCHED,pulse_only,FIX: 派生分析：消防分隊 + 路網救援等時圈
medHospital,medical,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 醫院 → medical.md
medClinic,medical,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 診所 → medical.md
medPharmacy,medical,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 藥局 → medical.md
medAED,aed,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: AED 點位 → aed.md
medLTC,long_term_care,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 長照機構 → long_term_care.md
medIsochrone,,manual_fix,UNMATCHED,pulse_only,FIX: 派生分析：醫療 POI + 路網等時圈計算結果
medDesert,,manual_fix,UNMATCHED,pulse_only,FIX: 派生分析：等時圈反演的醫療沙漠
agriPOI,agritourism_certified_2024,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 休農場/田媽媽 → agritourism_certified_2024.md
agriRetail,agri_retail_companies,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=agri_ | hunt: 農產零售商 → agri_retail_companies.md
agriProduceWholesale,produce_wholesale_companies,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=produ | hunt: 蔬果批發商 → produce_wholesale_companies.md
agriWholesaleMarket,agri_wholesale_market_companies,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=agri_ | hunt: 農產批發市場 → agri_wholesale_market_companies.md
agriculture,ftw_fields,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 農田範圍 → ftw_fields.md
agriLeisureFarmZones,leisure_farm_zones_2025,R5+theme+hunt,HIGH,verified,R5 token+theme alignment. dataset theme=agriculture | hunt: 休閒農業區 → leisure_farm_zones_2025.md
agriRuralRegen,rural_regen_communities_2025,R5+theme+hunt,HIGH,verified,R5 token+theme alignment. dataset theme=agriculture | hunt: 農村再生社區 → rural_regen_communities_2025.md
ecoNetworkZones,eco_network_zones,class_c_new_catalog,HIGH,verified,CLASS-C: 農業部林業及自然保育署 國土生態綠網 45 條軸帶
agriSoil,soil_map_national,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 土壤分類 → soil_map_national.md
agriSoilFertility,soil_fertility_grid_250m,R5+theme+hunt,HIGH,verified,R5 token+theme alignment. dataset theme=agriculture | hunt: 土壤肥力 → soil_fertility_grid_250m.md
agriCropSuitability,crop_suitability_132,R5+theme+hunt,HIGH,verified,R5 token+theme alignment. dataset theme=agriculture | hunt: 作物適栽 → crop_suitability_132.md
farmRoads,farm_roads,class_c_new_catalog,HIGH,verified,CLASS-C: ARDSWC 農路圖 data.gov.tw 71255 / data.moa a98
forestCompartments,national_forest_compartments,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=natio | hunt: 林班 → national_forest_compartments.md
forestReserve,forest_reserve,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=fores | hunt: 保安林 → forest_reserve.md
forestRecreation,forest_recreation_areas,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=fores | hunt: 森林遊樂區 → forest_recreation_areas.md
forestFlatParks,flat_forest_parks,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=flat_ | hunt: 平地森林 → flat_forest_parks.md
forestTreatmentWorks,forestry_treatment_works,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=fores | hunt: 治理工程 → forestry_treatment_works.md
forestTrailSigns,mountain_trail_signs,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=mount | hunt: 步道路標 → mountain_trail_signs.md
forestSignalPoints,mountain_signal_points,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=mount | hunt: 通訊點 → mountain_signal_points.md
forestEducationCenters,forest_education_centers,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=fores | hunt: 自然教育中心 → forest_education_centers.md
forestDamLakes,dam_lakes_in_forest,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=dam_l | hunt: 堰塞湖 → dam_lakes_in_forest.md
forestRoads,forest_roads,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=fores | hunt: 林道 → forest_roads.md
forestAlishanRail,wildlife_distribution_3rd_alt,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=wildl | hunt: 阿里山森林鐵路 → wildlife_distribution_3rd_alt.md
hikingTrails,mountain_trail_signs,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 全台步道 → mountain_trail_signs.md
forestWildlife,wildlife_distribution_3rd,R0+hunt,HIGH,verified,R0 frontend_target points to pulse file directly. frontend_target basename=wildl | hunt: 野生動物分布 → wildlife_distribution_3rd.md
wasteTruck,garbage_collection,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 垃圾車 → garbage_collection.md
wasteSchedule,garbage_collection,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 垃圾車表定 → garbage_collection.md
wasteScheduleNote,waste_collection_routes,manual_fix,LOW,verified,FIX: wasteSchedule 子層，共用 routes dataset
wasteCleaningSquads,waste_cleaning_squads,R4,MED,verified,R4 normalized name exact match. layer_key=wasteCleaningSquads (norm=wastecleaningsquads) <=> dataset_id (norm match)
wasteStopsStatic,waste_collection_stops,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 清運點位 → waste_collection_stops.md
wdClothes,waste_positions_realtime,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 衣物回收箱 → waste_positions_realtime.md
wdMixed,waste_positions_realtime,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 混合投放點 → waste_positions_realtime.md
wdRecyclingContainer,waste_positions_realtime,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 街頭資收桶 → waste_positions_realtime.md
wdBattery,waste_positions_realtime,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 電池回收 → waste_positions_realtime.md
wfIncinerator,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 焚化爐 → waste_facilities.md
wfLandfill,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 衛生掩埋場 → waste_facilities.md
wfLandfillCoastal,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 濱海掩埋場 → waste_facilities.md
wfTransfer,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 轉運站 → waste_facilities.md
wfMedical,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 醫療廢棄物 → waste_facilities.md
wfMonitoring,waste_facilities,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 地下水監測井 → waste_facilities.md (monitoring subset)
wfRecycling,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 資源回收廠 → waste_facilities.md
wfScrapYard,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 廢車/廢金屬 → waste_facilities.md
wfOther,waste_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 其他事廢設施 → waste_facilities.md
facPrimary,power_plants,adversarial_fix,MED,verified,ADV: ADV-FIX: 應為靜態廠址 power_plants 非即時 power_generation
facPlanned,power_plants,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 發電廠規劃 → power_plants.md
facHistorical,power_plants,manual_fix,MED,verified,FIX: 對應 energy/power_plants.md（含退役歷史）
facSecondary,power_plants,adversarial_fix,MED,verified,ADV: ADV-FIX: 應為靜態廠址 power_plants 非即時 power_generation
facOsmSupplement,osm_power,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 發電廠 OSM → osm_power.md
powerGenerationUnit,power_generation,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=energy
osmSubstationsEhv,osm_power,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 變電所超高壓 → osm_power.md
osmSubstations,osm_power,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 變電所區域 → osm_power.md
osmPowerLines,osm_power,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 高壓輸電線 → osm_power.md
osmPowerTowers,osm_power,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 高壓鐵塔 → osm_power.md
powerPoles,power_poles,R4+hunt,HIGH,verified,R4 normalized name exact match. layer_key=powerPoles (norm=powerpoles) <=> datas | hunt: 電線桿 → power_poles.md
offshoreWindZones,offshore_wind_zones,R4+hunt,HIGH,verified,R4 normalized name exact match. layer_key=offshoreWindZones (norm=offshorewindzo | hunt: 離岸風電區 → offshore_wind_zones.md
osmWindTurbines,osm_power,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 風機 → osm_power.md
windPlan,renewable,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 風電場規劃 → renewable.md
geothermalWells,geothermal_wells,class_c_new_catalog,HIGH,verified,CLASS-C: 經濟部地調所 GeoTEX 地熱探勘平臺
renewablePermitsTaipei,renewable,class_b_fix,HIGH,verified,CLASS-B: renewable.md 明確涵蓋(b) 臺北市再生能源設置 438 筆
evChargingStations,ev_charging_stations,R4+hunt,HIGH,verified,R4 normalized name exact match. layer_key=evChargingStations (norm=evcharging) < | hunt: 電動車充電站 → ev_charging.md
gasStationCpc,gas_stations,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 加油站 CPC → gas_stations.md
gasStationFpcc,gas_stations,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 加油站台塑 → gas_stations.md
gasStationTaisugar,gas_stations,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 加油站台糖 → gas_stations.md
gasStationOther,gas_stations,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 加油站其他 → gas_stations.md
gasStationCanonical,gas_stations,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 加油站 SSOT → gas_stations.md
lpgSubpackaging,lpg_facilities_canonical,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: LPG 分裝 → lpg_facilities_canonical.md
lpgRetailers,lpg_facilities_canonical,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: LPG 加氣站 → lpg_facilities_canonical.md
lngTerminal,gem_lng_terminals_tw,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: LNG 接收站 → gem_lng_terminals_tw.md
pipelineGas,gem_gas_pipelines_tw,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 天然氣主幹線 → gem_gas_pipelines_tw.md
pipelineOilGas,gem_oil_ngl_pipelines_tw,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 油氣管線 → gem_oil_ngl_pipelines_tw.md
industrialRefinery,osm_refineries,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 煉油/化工廠 → osm_refineries.md
industrialStorageTank,osm_storage_tanks_oil_gas,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 油氣儲槽 → osm_storage_tanks_oil_gas.md
industrialPowerPlant,osm_fossil_power_plants,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=energy
coalTerminal,gem_coal_terminals,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 煤炭碼頭 → gem_coal_terminals.md
fossilFuelInfra,gem_coal_plants,class_b_fix,MED,verified,CLASS-B: energy/gem_* 系列涵蓋化石燃料基礎設施（coal_plants 為代表）
gasCoverageAll,,coverage_derived,UNMATCHED,pulse_only,DERIVED: pulse-derived coverage analysis (PMTiles from gas stations + road network)
gasCoverageCpc,gas_stations,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 瓦斯涵蓋 CPC → gas_stations.md
gasCoverageFpcc,gas_stations,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 瓦斯涵蓋台塑 → gas_stations.md
gasCoverageTaisugar,gas_stations,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 瓦斯涵蓋台糖 → gas_stations.md
evIsland,,coverage_derived,UNMATCHED,pulse_only,DERIVED: pulse-derived island analysis (PMTiles from EV chargers + road network)
submarineCables,submarine_cable,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 海底光纜 → submarine_cable.md
landingStations,submarine_cable,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 登陸站 → submarine_cable.md (subset)
schools,layer2_polygon,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 學校 POI → layer2_polygon.md
convenienceStores,convenience_store,hunt,MED,verified,hunt overrode existing (none/UNMATCHED). evidence: 便利商店 → convenience_store.md
realEstateRentalGrid,real_estate,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 不動產租賃色階 → real_estate.md
realEstateRentalPoint,real_estate,manual_fix,HIGH,verified,FIX: real_estate dataset 涵蓋租賃成交點
realEstateSaleGrid,real_estate,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 不動產成交色階 → real_estate.md
realEstateSalePoint,real_estate,manual_fix,HIGH,verified,FIX: real_estate dataset 涵蓋買賣成交點
realEstatePresaleGrid,real_estate,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 不動產預售色階 → real_estate.md
realEstatePresalePoint,real_estate,manual_fix,HIGH,verified,FIX: real_estate dataset 涵蓋預售成交點
satellitesTaiwan,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesYaogan,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesJilin,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesGaofen,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesTJS,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesBeidou,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesShiyan,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesUSA,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesJapan,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesRussia,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesIndia,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesKorea,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesFrance,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
